fecha,presentada,votos
01/27/2015,ZEC,0
01/27/2015,PP,0
01/27/2015,PSOE,0
01/27/2015,CIUDADANOS,0
07/27/2015,ZEC,1
07/27/2015,PSOE,0
07/27/2015,PP,0
07/27/2015,CIUDADANOS,0
10/02/2015,PSOE,3
10/02/2015,ZEC,3
10/02/2015,PP,1
10/02/2015,CIUDADANOS,0
10/30/2015,PP,1
10/30/2015,CIUDADANOS,0
10/30/2015,PSOE,4
10/30/2015,ZEC,2
11/27/2015,CIUDADANOS,2
11/27/2015,PP,0
11/27/2015,ZEC,2
11/27/2015,PSOE,2
12/23/2015,PP,1
12/23/2015,CIUDADANOS,0
12/23/2015,PSOE,2
12/23/2015,ZEC,1
01/28/2016,PP,1
01/28/2016,PSOE,6
01/28/2016,ZEC,1
01/28/2016,CIUDADANOS,0
02/26/2016,PP,1
02/26/2016,ZEC,0
02/26/2016,CIUDADANOS,0
02/26/2016,PSOE,1
03/23/2016,ZEC,1
03/23/2016,PSOE,0
03/23/2016,PP,0
03/23/2016,CIUDADANOS,0
04/29/2016,ZEC,1
04/29/2016,CIUDADANOS,1
04/29/2016,PP,1
04/29/2016,PSOE,0
05/27/2016,ZEC,2
05/27/2016,PSOE,0
05/27/2016,CIUDADANOS,0
05/27/2016,PP,0
07/01/2016,PSOE,1
07/01/2016,ZEC,0
07/01/2016,PP,0
07/01/2016,CIUDADANOS,0
07/22/2016,CIUDADANOS,1
07/22/2016,ZEC,2
07/22/2016,PSOE,0
07/22/2016,PP,0
09/30/2016,PSOE,6
09/30/2016,ZEC,2
09/30/2016,CIUDADANOS,1
09/30/2016,PP,0
10/28/2016,PSOE,3
10/28/2016,CIUDADANOS,2
10/28/2016,ZEC,1
10/28/2016,PP,1
12/02/2016,CIUDADANOS,3
12/02/2016,PP,0
12/02/2016,PSOE,3
12/02/2016,ZEC,1
12/23/2016,PP,1
12/23/2016,ZEC,0
12/23/2016,PSOE,0
12/23/2016,CIUDADANOS,0
02/03/2017,ZEC,2
02/03/2017,CIUDADANOS,1
02/03/2017,PP,1
02/03/2017,PSOE,2
02/24/2017,ZEC,3
02/24/2017,PSOE,0
02/24/2017,PP,0
02/24/2017,CIUDADANOS,0
03/31/2017,PSOE,3
03/31/2017,ZEC,2
03/31/2017,PP,0
03/31/2017,CIUDADANOS,0
04/28/2017,PSOE,1
04/28/2017,CIUDADANOS,1
04/28/2017,ZEC,4
04/28/2017,PP,0
06/02/2017,CIUDADANOS,2
06/02/2017,ZEC,0
06/02/2017,PSOE,0
06/02/2017,PP,0
06/02/2017,PP,1
06/02/2017,PSOE,0
06/02/2017,CIUDADANOS,0
06/02/2017,ZEC,2
06/30/2017,PP,1
06/30/2017,ZEC,5
06/30/2017,PSOE,0
06/30/2017,CIUDADANOS,0
07/28/2017,PP,2
07/28/2017,PSOE,2
07/28/2017,ZEC,1
07/28/2017,CIUDADANOS,0
09/29/2017,ZEC,2
09/29/2017,PSOE,1
09/29/2017,PP,0
09/29/2017,CIUDADANOS,0
10/30/2017,PSOE,1
10/30/2017,ZEC,1
10/30/2017,PP,0
10/30/2017,CIUDADANOS,0
12/22/2017,CIUDADANOS,1
12/22/2017,ZEC,1
12/22/2017,PSOE,1
12/22/2017,PP,0
02/02/2018,PSOE,2
02/02/2018,ZEC,1
02/02/2018,PP,0
02/02/2018,CIUDADANOS,0
03/02/2018,CIUDADANOS,1
03/02/2018,PSOE,1
03/02/2018,PP,1
03/02/2018,ZEC,0
03/26/2018,PSOE,4
03/26/2018,ZEC,4
03/26/2018,PP,0
03/26/2018,CIUDADANOS,0
05/04/2018,ZEC,3
05/04/2018,CIUDADANOS,1
05/04/2018,PSOE,3
05/04/2018,PP,1
06/01/2018,PP,1
06/01/2018,ZEC,3
06/01/2018,PSOE,1
06/01/2018,CIUDADANOS,0
06/29/2018,PSOE,3
06/29/2018,PP,6
06/29/2018,CIUDADANOS,2
06/29/2018,ZEC,0
07/27/2018,PP,1
07/27/2018,ZEC,0
07/27/2018,CIUDADANOS,0
07/27/2018,PSOE,2
09/28/2018,PP,0
09/28/2018,ZEC,1
09/28/2018,CIUDADANOS,0
09/28/2018,PSOE,1
10/29/2018,PP,1
10/29/2018,CIUDADANOS,1
10/29/2018,ZEC,4
10/29/2018,PSOE,2
